model_a,model_b,n_shared,mean_a,mean_b,std_a,std_b,mean_delta,median_delta,raw_p_value,adjusted_alpha,significant
LCM_2.5M,LCM_9.4M,54,0.9860747589005364,0.9834032389852736,0.014448304960482999,0.014022695328563099,0.002671519915262858,0.004276394844055176,0.010438514548825271,0.002380952380952381,False
LCM_2.5M,LCM_12.2M,54,0.9860747589005364,0.9781629487320229,0.014448304960482999,0.018118873008283517,0.007911810168513545,0.005345404148101807,7.338308464483499e-05,0.002380952380952381,True
LCM_2.5M,LCM_24M,54,0.9860747589005364,0.9703043180483358,0.014448304960482999,0.022425043947123028,0.015770440852200543,0.011332064867019653,1.518000589326859e-06,0.002380952380952381,True
LCM_2.5M,PCMCI,54,0.9860747589005364,0.5650378054490796,0.014448304960482999,0.21180060068329623,0.42103695345145686,0.39869025349617004,1.6256984569330967e-10,0.002380952380952381,True
LCM_2.5M,DYNOTEARS,54,0.9860747589005364,0.7064626879162259,0.014448304960482999,0.22069487067544408,0.27961207098431057,0.36443912982940674,8.608728570396283e-07,0.002380952380952381,True
LCM_2.5M,VARLINGAM,54,0.9860747589005364,0.5211531638547227,0.014448304960482999,0.20055340146757009,0.4649215950458138,0.5050621330738068,1.6256984569330967e-10,0.002380952380952381,True
LCM_9.4M,LCM_12.2M,54,0.9834032389852736,0.9781629487320229,0.014022695328563099,0.018118873008283517,0.005240290253250687,0.0016369223594665527,0.013075763039974755,0.002380952380952381,False
LCM_9.4M,LCM_24M,54,0.9834032389852736,0.9703043180483358,0.014022695328563099,0.022425043947123028,0.013098920936937685,0.00991407036781311,0.00019031907151563076,0.002380952380952381,True
LCM_9.4M,PCMCI,54,0.9834032389852736,0.5650378054490796,0.014022695328563099,0.21180060068329623,0.418365433536194,0.3983682692050934,1.6253834105727728e-10,0.002380952380952381,True
LCM_9.4M,DYNOTEARS,54,0.9834032389852736,0.7064626879162259,0.014022695328563099,0.22069487067544408,0.2769405510690477,0.35812824964523315,8.613745836139541e-07,0.002380952380952381,True
LCM_9.4M,VARLINGAM,54,0.9834032389852736,0.5211531638547227,0.014022695328563099,0.20055340146757009,0.46225007513055094,0.49552854895591736,1.6253834105727728e-10,0.002380952380952381,True
LCM_12.2M,LCM_24M,54,0.9781629487320229,0.9703043180483358,0.018118873008283517,0.022425043947123028,0.007858630683686998,0.006817430257797241,0.037185550134225726,0.002380952380952381,False
LCM_12.2M,PCMCI,54,0.9781629487320229,0.5650378054490796,0.018118873008283517,0.21180060068329623,0.4131251432829433,0.3870697617530823,1.6256984569330967e-10,0.002380952380952381,True
LCM_12.2M,DYNOTEARS,54,0.9781629487320229,0.7064626879162259,0.018118873008283517,0.22069487067544408,0.271700260815797,0.3603971600532532,8.61575343309161e-07,0.002380952380952381,True
LCM_12.2M,VARLINGAM,54,0.9781629487320229,0.5211531638547227,0.018118873008283517,0.20055340146757009,0.45700978487730026,0.4850020706653595,1.6253834105727728e-10,0.002380952380952381,True
LCM_24M,PCMCI,54,0.9703043180483358,0.5650378054490796,0.022425043947123028,0.21180060068329623,0.4052665125992563,0.400984525680542,1.6256984569330967e-10,0.002380952380952381,True
LCM_24M,DYNOTEARS,54,0.9703043180483358,0.7064626879162259,0.022425043947123028,0.22069487067544408,0.26384163013211004,0.34767353534698486,8.612742185676421e-07,0.002380952380952381,True
LCM_24M,VARLINGAM,54,0.9703043180483358,0.5211531638547227,0.022425043947123028,0.20055340146757009,0.4491511541936133,0.4837702512741089,1.6256984569330967e-10,0.002380952380952381,True
PCMCI,DYNOTEARS,54,0.5650378054490796,0.7064626879162259,0.21180060068329623,0.22069487067544408,-0.14142488246714627,-0.058333367109298706,0.013931667295139569,0.002380952380952381,False
PCMCI,VARLINGAM,54,0.5650378054490796,0.5211531638547227,0.21180060068329623,0.20055340146757009,0.04388464159435696,0.030555546283721924,0.2586727314796987,0.002380952380952381,False
DYNOTEARS,VARLINGAM,54,0.7064626879162259,0.5211531638547227,0.22069487067544408,0.20055340146757009,0.18530952406150322,0.142857164144516,0.0010840826552093376,0.002380952380952381,True
