model_a,model_b,mean_a,mean_b,std_a,std_b,mean_delta,median_delta,raw_p_value,adjusted_alpha,significant
LCM_2.5M,LCM_9.4M,0.7726085214337832,0.7687200249605616,0.17879322579307547,0.17188077617809874,0.0038884964732217118,0.0005814135074615479,0.4706920026488164,0.002380952380952381,False
LCM_2.5M,LCM_12.2M,0.7726085214337832,0.7724967707525676,0.17879322579307547,0.17326408446522745,0.00011175068121560863,-0.002333700656890869,0.1462210477920914,0.002380952380952381,False
LCM_2.5M,LCM_24M,0.7726085214337832,0.7232582653072518,0.17879322579307547,0.18616246602107084,0.04935025612653141,0.03678765892982483,5.062631623647763e-24,0.002380952380952381,True
LCM_2.5M,PCMCI,0.7726085214337832,0.5211964166710075,0.17879322579307547,0.1088958153429893,0.2514121047627758,0.26010555028915405,5.191602607853753e-39,0.002380952380952381,True
LCM_2.5M,DYNOTEARS,0.7726085214337832,0.4904045854550852,0.17879322579307547,0.08792546559231683,0.2822039359786981,0.29404424130916595,5.266623217680789e-43,0.002380952380952381,True
LCM_2.5M,VARLINGAM,0.7726085214337832,0.5171497440568997,0.17879322579307547,0.09976257366989594,0.25545877737688344,0.260364294052124,1.355701212301658e-39,0.002380952380952381,True
LCM_9.4M,LCM_12.2M,0.7687200249605616,0.7724967707525676,0.17188077617809874,0.17326408446522745,-0.0037767457920061033,-0.004481494426727295,0.02837947239576931,0.002380952380952381,False
LCM_9.4M,LCM_24M,0.7687200249605616,0.7232582653072518,0.17188077617809874,0.18616246602107084,0.0454617596533097,0.03295522928237915,1.2472577617692063e-17,0.002380952380952381,True
LCM_9.4M,PCMCI,0.7687200249605616,0.5211964166710075,0.17188077617809874,0.1088958153429893,0.24752360828955408,0.24659818410873413,2.38253366334562e-40,0.002380952380952381,True
LCM_9.4M,DYNOTEARS,0.7687200249605616,0.4904045854550852,0.17188077617809874,0.08792546559231683,0.2783154395054763,0.27871257066726685,7.91868705354832e-44,0.002380952380952381,True
LCM_9.4M,VARLINGAM,0.7687200249605616,0.5171497440568997,0.17188077617809874,0.09976257366989594,0.25157028090366174,0.25490522384643555,1.983097869546029e-40,0.002380952380952381,True
LCM_12.2M,LCM_24M,0.7724967707525676,0.7232582653072518,0.17326408446522745,0.18616246602107084,0.04923850544531581,0.03677964210510254,2.7115135072698433e-19,0.002380952380952381,True
LCM_12.2M,PCMCI,0.7724967707525676,0.5211964166710075,0.17326408446522745,0.1088958153429893,0.2513003540815602,0.2607787549495697,2.974425548542361e-40,0.002380952380952381,True
LCM_12.2M,DYNOTEARS,0.7724967707525676,0.4904045854550852,0.17326408446522745,0.08792546559231683,0.2820921852974824,0.2774171829223633,7.605903892740993e-44,0.002380952380952381,True
LCM_12.2M,VARLINGAM,0.7724967707525676,0.5171497440568997,0.17326408446522745,0.09976257366989594,0.25534702669566783,0.2594912201166153,1.6663597469881812e-40,0.002380952380952381,True
LCM_24M,PCMCI,0.7232582653072518,0.5211964166710075,0.18616246602107084,0.1088958153429893,0.20206184863624438,0.19528639316558838,2.242877075198691e-31,0.002380952380952381,True
LCM_24M,DYNOTEARS,0.7232582653072518,0.4904045854550852,0.18616246602107084,0.08792546559231683,0.23285367985216665,0.21061307191848755,4.19535759354845e-37,0.002380952380952381,True
LCM_24M,VARLINGAM,0.7232582653072518,0.5171497440568997,0.18616246602107084,0.09976257366989594,0.20610852125035206,0.18639454245567322,9.920531901889767e-32,0.002380952380952381,True
PCMCI,DYNOTEARS,0.5211964166710075,0.4904045854550852,0.1088958153429893,0.08792546559231683,0.03079183121592226,0.024375036358833313,6.192502118937282e-06,0.002380952380952381,True
PCMCI,VARLINGAM,0.5211964166710075,0.5171497440568997,0.1088958153429893,0.09976257366989594,0.0040466726141076695,0.004271358251571655,0.7067091600537869,0.002380952380952381,False
DYNOTEARS,VARLINGAM,0.4904045854550852,0.5171497440568997,0.08792546559231683,0.09976257366989594,-0.026745158601814593,-0.028985485434532166,1.9364906907176196e-07,0.002380952380952381,True
