model_a,model_b,n_shared,mean_a,mean_b,std_a,std_b,mean_delta,median_delta,raw_p_value,adjusted_alpha,significant
LCM_2.5M,LCM_9.4M,17,0.9894578667247996,0.9830353785963619,0.007350977356159851,0.012630643566726923,0.006422488128437716,0.0023365020751953125,0.079681396484375,0.002380952380952381,False
LCM_2.5M,LCM_12.2M,17,0.9894578667247996,0.9874670715893016,0.007350977356159851,0.010315708070683247,0.001990795135498047,-0.0011736750602722168,0.926513671875,0.002380952380952381,False
LCM_2.5M,LCM_24M,17,0.9894578667247996,0.982575444614186,0.007350977356159851,0.015452764481212923,0.0068824221106136545,0.005868494510650635,0.0551792771247106,0.002380952380952381,False
LCM_2.5M,PCMCI,17,0.9894578667247996,0.9275780179921318,0.007350977356159851,0.09955996297379971,0.06187984873266781,-0.0031080245971679688,0.328948974609375,0.002380952380952381,False
LCM_2.5M,DYNOTEARS,17,0.9894578667247996,0.7081725720097037,0.007350977356159851,0.12262750966592942,0.28128529471509595,0.30725985765457153,1.52587890625e-05,0.002380952380952381,True
LCM_2.5M,VARLINGAM,17,0.9894578667247996,0.9381100745762095,0.007350977356159851,0.07810025152906874,0.05134779214859009,0.00938957929611206,0.023223876953125,0.002380952380952381,False
LCM_9.4M,LCM_12.2M,17,0.9830353785963619,0.9874670715893016,0.012630643566726923,0.010315708070683247,-0.004431692992939669,-0.0032787322998046875,0.021392822265625,0.002380952380952381,False
LCM_9.4M,LCM_24M,17,0.9830353785963619,0.982575444614186,0.012630643566726923,0.015452764481212923,0.0004599339821759392,-0.0018734931945800781,0.7563294291891599,0.002380952380952381,False
LCM_9.4M,PCMCI,17,0.9830353785963619,0.9275780179921318,0.012630643566726923,0.09955996297379971,0.055457360604230094,-0.0023310184478759766,0.328948974609375,0.002380952380952381,False
LCM_9.4M,DYNOTEARS,17,0.9830353785963619,0.7081725720097037,0.012630643566726923,0.12262750966592942,0.27486280658665824,0.3007025122642517,1.52587890625e-05,0.002380952380952381,True
LCM_9.4M,VARLINGAM,17,0.9830353785963619,0.9381100745762095,0.012630643566726923,0.07810025152906874,0.04492530402015237,0.016431868076324463,0.0714111328125,0.002380952380952381,False
LCM_12.2M,LCM_24M,17,0.9874670715893016,0.982575444614186,0.010315708070683247,0.015452764481212923,0.004891626975115608,0.0,0.12507733264310025,0.002380952380952381,False
LCM_12.2M,PCMCI,17,0.9874670715893016,0.9275780179921318,0.010315708070683247,0.09955996297379971,0.05988905359716976,0.0,0.21142578125,0.002380952380952381,False
LCM_12.2M,DYNOTEARS,17,0.9874670715893016,0.7081725720097037,0.010315708070683247,0.12262750966592942,0.2792944995795979,0.30374717712402344,1.52587890625e-05,0.002380952380952381,True
LCM_12.2M,VARLINGAM,17,0.9874670715893016,0.9381100745762095,0.010315708070683247,0.07810025152906874,0.04935699701309204,0.010563254356384277,0.030517578125,0.002380952380952381,False
LCM_24M,PCMCI,17,0.982575444614186,0.9275780179921318,0.015452764481212923,0.09955996297379971,0.05499742662205415,0.0,0.15142822265625,0.002380952380952381,False
LCM_24M,DYNOTEARS,17,0.982575444614186,0.7081725720097037,0.015452764481212923,0.12262750966592942,0.2744028726044823,0.3018735647201538,1.52587890625e-05,0.002380952380952381,True
LCM_24M,VARLINGAM,17,0.982575444614186,0.9381100745762095,0.015452764481212923,0.07810025152906874,0.04446537003797643,0.003496527671813965,0.0983734130859375,0.002380952380952381,False
PCMCI,DYNOTEARS,17,0.9275780179921318,0.7081725720097037,0.09955996297379971,0.12262750966592942,0.21940544598242817,0.20589947700500488,3.0517578125e-05,0.002380952380952381,True
PCMCI,VARLINGAM,17,0.9275780179921318,0.9381100745762095,0.09955996297379971,0.07810025152906874,-0.010532056584077723,0.003496527671813965,0.6191046071260449,0.002380952380952381,False
DYNOTEARS,VARLINGAM,17,0.7081725720097037,0.9381100745762095,0.12262750966592942,0.07810025152906874,-0.22993750256650589,-0.2152453064918518,1.52587890625e-05,0.002380952380952381,True
