model_a,model_b,n_shared,mean_a,mean_b,std_a,std_b,mean_delta,median_delta,raw_p_value,adjusted_alpha,significant
LCM_2.5M,LCM_9.4M,15,0.9770150701204936,0.9651159604390462,0.007897839074903398,0.025413433542172757,0.011899109681447346,0.0012077093124389648,0.22930908203125,0.002380952380952381,False
LCM_2.5M,LCM_12.2M,15,0.9770150701204936,0.9755620837211609,0.007897839074903398,0.010487044615655484,0.0014529863993326822,0.0004253387451171875,0.846923828125,0.002380952380952381,False
LCM_2.5M,LCM_24M,15,0.9770150701204936,0.9720156629880269,0.007897839074903398,0.013038389195126175,0.004999407132466634,0.002427041530609131,0.27685546875,0.002380952380952381,False
LCM_2.5M,PCMCI,15,0.9770150701204936,0.8985324184099833,0.007897839074903398,0.03686785634103021,0.07848265171051025,0.08483338356018066,6.103515625e-05,0.002380952380952381,True
LCM_2.5M,DYNOTEARS,15,0.9770150701204936,0.5660715818405151,0.007897839074903398,0.03886776890643288,0.41094348827997845,0.41036587953567505,6.103515625e-05,0.002380952380952381,True
LCM_2.5M,VARLINGAM,15,0.9770150701204936,0.9067205508550008,0.007897839074903398,0.02537434029119923,0.07029451926549275,0.06341469287872314,6.103515625e-05,0.002380952380952381,True
LCM_9.4M,LCM_12.2M,15,0.9651159604390462,0.9755620837211609,0.025413433542172757,0.010487044615655484,-0.010446123282114665,-0.0012743473052978516,0.090576171875,0.002380952380952381,False
LCM_9.4M,LCM_24M,15,0.9651159604390462,0.9720156629880269,0.025413433542172757,0.013038389195126175,-0.006899702548980713,0.0036853551864624023,0.76153564453125,0.002380952380952381,False
LCM_9.4M,PCMCI,15,0.9651159604390462,0.8985324184099833,0.025413433542172757,0.03686785634103021,0.0665835420290629,0.08027911186218262,0.0001220703125,0.002380952380952381,True
LCM_9.4M,DYNOTEARS,15,0.9651159604390462,0.5660715818405151,0.025413433542172757,0.03886776890643288,0.3990443785985311,0.39636504650115967,6.103515625e-05,0.002380952380952381,True
LCM_9.4M,VARLINGAM,15,0.9651159604390462,0.9067205508550008,0.025413433542172757,0.02537434029119923,0.05839540958404541,0.06059533357620239,6.103515625e-05,0.002380952380952381,True
LCM_12.2M,LCM_24M,15,0.9755620837211609,0.9720156629880269,0.010487044615655484,0.013038389195126175,0.0035464207331339518,0.0007761120796203613,0.52447509765625,0.002380952380952381,False
LCM_12.2M,PCMCI,15,0.9755620837211609,0.8985324184099833,0.010487044615655484,0.03686785634103021,0.07702966531117757,0.0797126293182373,0.0001220703125,0.002380952380952381,True
LCM_12.2M,DYNOTEARS,15,0.9755620837211609,0.5660715818405151,0.010487044615655484,0.03886776890643288,0.40949050188064573,0.41202884912490845,6.103515625e-05,0.002380952380952381,True
LCM_12.2M,VARLINGAM,15,0.9755620837211609,0.9067205508550008,0.010487044615655484,0.02537434029119923,0.06884153286616007,0.06507766246795654,6.103515625e-05,0.002380952380952381,True
LCM_24M,PCMCI,15,0.9720156629880269,0.8985324184099833,0.013038389195126175,0.03686785634103021,0.07348324457804362,0.08003062009811401,6.103515625e-05,0.002380952380952381,True
LCM_24M,DYNOTEARS,15,0.9720156629880269,0.5660715818405151,0.013038389195126175,0.03886776890643288,0.4059440811475118,0.4133238196372986,6.103515625e-05,0.002380952380952381,True
LCM_24M,VARLINGAM,15,0.9720156629880269,0.9067205508550008,0.013038389195126175,0.02537434029119923,0.06529511213302612,0.06980860233306885,0.0001220703125,0.002380952380952381,True
PCMCI,DYNOTEARS,15,0.8985324184099833,0.5660715818405151,0.03686785634103021,0.03886776890643288,0.3324608365694682,0.33930152654647827,6.103515625e-05,0.002380952380952381,True
PCMCI,VARLINGAM,15,0.8985324184099833,0.9067205508550008,0.03686785634103021,0.02537434029119923,-0.008188132445017498,-0.01412266492843628,0.1876220703125,0.002380952380952381,False
DYNOTEARS,VARLINGAM,15,0.5660715818405151,0.9067205508550008,0.03886776890643288,0.02537434029119923,-0.34064896901448566,-0.3469511866569519,6.103515625e-05,0.002380952380952381,True
