model_a,model_b,n_shared,mean_a,mean_b,std_a,std_b,mean_delta,median_delta,raw_p_value,adjusted_alpha,significant
LCM_2.5M,LCM_9.4M,24,0.9955349614222845,0.9960860013961792,0.004885652521924772,0.004449354949016802,-0.000551039973894755,0.0,0.5314906094832389,0.002380952380952381,False
LCM_2.5M,LCM_12.2M,24,0.9955349614222845,0.9964648485183716,0.004885652521924772,0.0036331279280003067,-0.0009298870960871378,-0.0008596181869506836,0.13530156727181036,0.002380952380952381,False
LCM_2.5M,LCM_24M,24,0.9955349614222845,0.995770995815595,0.004885652521924772,0.007100020949429644,-0.00023603439331054688,-0.0012508630752563477,0.30013346672058105,0.002380952380952381,False
LCM_2.5M,PCMCI,24,0.9955349614222845,0.9723164488871893,0.004885652521924772,0.05444087527337409,0.023218512535095215,0.00733029842376709,0.0012379884719848633,0.002380952380952381,True
LCM_2.5M,DYNOTEARS,24,0.9955349614222845,0.5368314211567243,0.004885652521924772,0.053082194215954684,0.45870354026556015,0.44769537448883057,1.1920928955078125e-07,0.002380952380952381,True
LCM_2.5M,VARLINGAM,24,0.9955349614222845,0.9843065689007441,0.004885652521924772,0.020938668681071138,0.011228392521540323,0.005791425704956055,1.3113021850585938e-05,0.002380952380952381,True
LCM_9.4M,LCM_12.2M,24,0.9960860013961792,0.9964648485183716,0.004449354949016802,0.0036331279280003067,-0.0003788471221923828,0.0,0.7285060882568359,0.002380952380952381,False
LCM_9.4M,LCM_24M,24,0.9960860013961792,0.995770995815595,0.004449354949016802,0.007100020949429644,0.0003150055805842082,-0.0006997883319854736,0.4928270856122001,0.002380952380952381,False
LCM_9.4M,PCMCI,24,0.9960860013961792,0.9723164488871893,0.004449354949016802,0.05444087527337409,0.02376955250898997,0.007074177265167236,0.0003223419189453125,0.002380952380952381,True
LCM_9.4M,DYNOTEARS,24,0.9960860013961792,0.5368314211567243,0.004449354949016802,0.053082194215954684,0.4592545802394549,0.4500978887081146,1.1920928955078125e-07,0.002380952380952381,True
LCM_9.4M,VARLINGAM,24,0.9960860013961792,0.9843065689007441,0.004449354949016802,0.020938668681071138,0.01177943249543508,0.006748825311660767,8.344650268554688e-06,0.002380952380952381,True
LCM_12.2M,LCM_24M,24,0.9964648485183716,0.995770995815595,0.0036331279280003067,0.007100020949429644,0.000693852702776591,-0.0004876852035522461,0.407680027323704,0.002380952380952381,False
LCM_12.2M,PCMCI,24,0.9964648485183716,0.9723164488871893,0.0036331279280003067,0.05444087527337409,0.024148399631182354,0.00803840160369873,0.00020515918731689453,0.002380952380952381,True
LCM_12.2M,DYNOTEARS,24,0.9964648485183716,0.5368314211567243,0.0036331279280003067,0.053082194215954684,0.4596334273616473,0.4470781683921814,1.1920928955078125e-07,0.002380952380952381,True
LCM_12.2M,VARLINGAM,24,0.9964648485183716,0.9843065689007441,0.0036331279280003067,0.020938668681071138,0.012158279617627462,0.0062378644943237305,2.384185791015625e-07,0.002380952380952381,True
LCM_24M,PCMCI,24,0.995770995815595,0.9723164488871893,0.007100020949429644,0.05444087527337409,0.02345454692840576,0.007658183574676514,0.010990935272876007,0.002380952380952381,False
LCM_24M,DYNOTEARS,24,0.995770995815595,0.5368314211567243,0.007100020949429644,0.053082194215954684,0.4589395746588707,0.44857144355773926,1.1920928955078125e-07,0.002380952380952381,True
LCM_24M,VARLINGAM,24,0.995770995815595,0.9843065689007441,0.007100020949429644,0.020938668681071138,0.01146442691485087,0.006698012351989746,0.0001270771026611328,0.002380952380952381,True
PCMCI,DYNOTEARS,24,0.9723164488871893,0.5368314211567243,0.05444087527337409,0.053082194215954684,0.43548502773046494,0.43647491931915283,1.8197386214786344e-05,0.002380952380952381,True
PCMCI,VARLINGAM,24,0.9723164488871893,0.9843065689007441,0.05444087527337409,0.020938668681071138,-0.011990120013554892,2.619624137878418e-05,0.8303157317821511,0.002380952380952381,False
DYNOTEARS,VARLINGAM,24,0.5368314211567243,0.9843065689007441,0.053082194215954684,0.020938668681071138,-0.4474751477440198,-0.43902045488357544,1.1920928955078125e-07,0.002380952380952381,True
