model_a,model_b,n_shared,mean_a,mean_b,std_a,std_b,mean_delta,median_delta,raw_p_value,adjusted_alpha,significant
LCM_2.5M,LCM_9.4M,20,0.9980706453323365,0.9985868394374847,0.0078150488635289,0.005394922174136088,-0.0005161941051483154,0.0,0.8125,0.002380952380952381,False
LCM_2.5M,LCM_12.2M,20,0.9980706453323365,0.9990006685256958,0.0078150488635289,0.0030893541412719853,-0.000930023193359375,0.0,1.0,0.002380952380952381,False
LCM_2.5M,LCM_24M,20,0.9980706453323365,0.9968535125255584,0.0078150488635289,0.01049176588291329,0.001217132806777954,0.0,0.1875,0.002380952380952381,False
LCM_2.5M,PCMCI,20,0.9980706453323365,0.9801981031894684,0.0078150488635289,0.04121112339442302,0.017872542142868042,2.9802322387695312e-08,0.0048828125,0.002380952380952381,False
LCM_2.5M,DYNOTEARS,20,0.9980706453323365,0.693536040186882,0.0078150488635289,0.08545033187365662,0.3045346051454544,0.33993780612945557,8.69545403378786e-05,0.002380952380952381,True
LCM_2.5M,VARLINGAM,20,0.9980706453323365,0.9956990152597427,0.0078150488635289,0.01008823285380331,0.002371630072593689,0.0005827844142913818,0.009758429308969394,0.002380952380952381,False
LCM_9.4M,LCM_12.2M,20,0.9985868394374847,0.9990006685256958,0.005394922174136088,0.0030893541412719853,-0.00041382908821105955,0.0,1.0,0.002380952380952381,False
LCM_9.4M,LCM_24M,20,0.9985868394374847,0.9968535125255584,0.005394922174136088,0.01049176588291329,0.0017333269119262696,0.0,0.0625,0.002380952380952381,False
LCM_9.4M,PCMCI,20,0.9985868394374847,0.9801981031894684,0.005394922174136088,0.04121112339442302,0.018388736248016357,5.960464477539063e-08,0.00244140625,0.002380952380952381,False
LCM_9.4M,DYNOTEARS,20,0.9985868394374847,0.693536040186882,0.005394922174136088,0.08545033187365662,0.30505079925060274,0.33993780612945557,8.69545403378786e-05,0.002380952380952381,True
LCM_9.4M,VARLINGAM,20,0.9985868394374847,0.9956990152597427,0.005394922174136088,0.01008823285380331,0.0028878241777420045,0.0005827844142913818,0.003538593234875015,0.002380952380952381,False
LCM_12.2M,LCM_24M,20,0.9990006685256958,0.9968535125255584,0.0030893541412719853,0.01049176588291329,0.0021471560001373293,0.0,1.0,0.002380952380952381,False
LCM_12.2M,PCMCI,20,0.9990006685256958,0.9801981031894684,0.0030893541412719853,0.04121112339442302,0.018802565336227418,2.9802322387695312e-08,0.0048828125,0.002380952380952381,False
LCM_12.2M,DYNOTEARS,20,0.9990006685256958,0.693536040186882,0.0030893541412719853,0.08545033187365662,0.30546462833881377,0.33993780612945557,8.70783521016157e-05,0.002380952380952381,True
LCM_12.2M,VARLINGAM,20,0.9990006685256958,0.9956990152597427,0.0030893541412719853,0.01008823285380331,0.003301653265953064,0.0011654794216156006,0.0008288994249034153,0.002380952380952381,True
LCM_24M,PCMCI,20,0.9968535125255584,0.9801981031894684,0.01049176588291329,0.04121112339442302,0.01665540933609009,2.9802322387695312e-08,0.0048828125,0.002380952380952381,False
LCM_24M,DYNOTEARS,20,0.9968535125255584,0.693536040186882,0.01049176588291329,0.08545033187365662,0.30331747233867645,0.33954930305480957,8.69545403378786e-05,0.002380952380952381,True
LCM_24M,VARLINGAM,20,0.9968535125255584,0.9956990152597427,0.01049176588291329,0.01008823285380331,0.0011544972658157349,0.0005827546119689941,0.018899144015219718,0.002380952380952381,False
PCMCI,DYNOTEARS,20,0.9801981031894684,0.693536040186882,0.04121112339442302,0.08545033187365662,0.28666206300258634,0.3387722969055176,8.794879347050151e-05,0.002380952380952381,True
PCMCI,VARLINGAM,20,0.9801981031894684,0.9956990152597427,0.04121112339442302,0.01008823285380331,-0.015500912070274353,2.9802322387695312e-08,0.5275307805322712,0.002380952380952381,False
DYNOTEARS,VARLINGAM,20,0.693536040186882,0.9956990152597427,0.08545033187365662,0.01008823285380331,-0.3021629750728607,-0.3389665484428406,1.9073486328125e-06,0.002380952380952381,True
