model_a,model_b,mean_a,mean_b,std_a,std_b,mean_delta,median_delta,raw_p_value,adjusted_alpha,significant
CP_trf,LCM_2.5M,0.5415766562372446,0.9572948552966117,0.1081172944969894,0.017657693490189835,-0.4157181990593672,-0.4205929934978485,3.325855376115758e-165,0.0017857142857142859,True
CP_trf,LCM_9.4M,0.5415766562372446,0.9723845977187157,0.1081172944969894,0.009206733758396975,-0.43080794148147106,-0.435748428106308,3.3258572475243253e-165,0.0017857142857142859,True
CP_trf,LCM_12.2M,0.5415766562372446,0.9535015013813972,0.1081172944969894,0.01691125011276979,-0.4119248451441526,-0.41303807497024536,3.325859118934513e-165,0.0017857142857142859,True
CP_trf,LCM_24M,0.5415766562372446,0.9734429507851601,0.1081172944969894,0.0073025762133773695,-0.4318662945479155,-0.4350888729095459,3.3258535047076764e-165,0.0017857142857142859,True
CP_trf,PCMCI,0.5415766562372446,0.4769712873324752,0.1081172944969894,0.10323910229920946,0.06460536890476942,0.05581745505332947,9.966862703642031e-36,0.0017857142857142859,True
CP_trf,DYNOTEARS,0.5415766562372446,0.48327545161545277,0.1081172944969894,0.07763350759683303,0.05830120462179184,0.05509278178215027,5.386618591017877e-34,0.0017857142857142859,True
CP_trf,VARLINGAM,0.5415766562372446,0.47986908112466337,0.1081172944969894,0.10551429717089528,0.06170757511258125,0.06110094487667084,2.377755658839067e-31,0.0017857142857142859,True
LCM_2.5M,LCM_9.4M,0.9572948552966117,0.9723845977187157,0.017657693490189835,0.009206733758396975,-0.015089742422103881,-0.01332905888557434,1.5362888572421283e-117,0.0017857142857142859,True
LCM_2.5M,LCM_12.2M,0.9572948552966117,0.9535015013813972,0.017657693490189835,0.01691125011276979,0.0037933539152145384,0.004234045743942261,8.153770094311008e-12,0.0017857142857142859,True
LCM_2.5M,LCM_24M,0.9572948552966117,0.9734429507851601,0.017657693490189835,0.0073025762133773695,-0.01614809548854828,-0.013603955507278442,1.2256326688187868e-127,0.0017857142857142859,True
LCM_2.5M,PCMCI,0.9572948552966117,0.4769712873324752,0.017657693490189835,0.10323910229920946,0.4803235679641366,0.47424978017807007,3.325859118934513e-165,0.0017857142857142859,True
LCM_2.5M,DYNOTEARS,0.9572948552966117,0.48327545161545277,0.017657693490189835,0.07763350759683303,0.474019403681159,0.47120724618434906,3.325855376115758e-165,0.0017857142857142859,True
LCM_2.5M,VARLINGAM,0.9572948552966117,0.47986908112466337,0.017657693490189835,0.10551429717089528,0.4774257741719484,0.4782562106847763,3.3258572475243253e-165,0.0017857142857142859,True
LCM_9.4M,LCM_12.2M,0.9723845977187157,0.9535015013813972,0.009206733758396975,0.01691125011276979,0.01888309633731842,0.01736515760421753,2.3838444229611278e-153,0.0017857142857142859,True
LCM_9.4M,LCM_24M,0.9723845977187157,0.9734429507851601,0.009206733758396975,0.0073025762133773695,-0.001058353066444397,-0.00037917494773864746,0.006095650773856642,0.0017857142857142859,False
LCM_9.4M,PCMCI,0.9723845977187157,0.4769712873324752,0.009206733758396975,0.10323910229920946,0.4954133103862405,0.4901873916387558,3.3258572475243253e-165,0.0017857142857142859,True
LCM_9.4M,DYNOTEARS,0.9723845977187157,0.48327545161545277,0.009206733758396975,0.07763350759683303,0.4891091461032629,0.4926608204841614,3.3258160767715253e-165,0.0017857142857142859,True
LCM_9.4M,VARLINGAM,0.9723845977187157,0.47986908112466337,0.009206733758396975,0.10551429717089528,0.4925155165940523,0.49258509278297424,3.325855376115758e-165,0.0017857142857142859,True
LCM_12.2M,LCM_24M,0.9535015013813972,0.9734429507851601,0.01691125011276979,0.0073025762133773695,-0.01994144940376282,-0.01768869161605835,2.3851779320351907e-157,0.0017857142857142859,True
LCM_12.2M,PCMCI,0.9535015013813972,0.4769712873324752,0.01691125011276979,0.10323910229920946,0.47653021404892204,0.4696846902370453,3.3258572475243253e-165,0.0017857142857142859,True
LCM_12.2M,DYNOTEARS,0.9535015013813972,0.48327545161545277,0.01691125011276979,0.07763350759683303,0.47022604976594445,0.46913889050483704,3.3258422762826247e-165,0.0017857142857142859,True
LCM_12.2M,VARLINGAM,0.9535015013813972,0.47986908112466337,0.01691125011276979,0.10551429717089528,0.4736324202567339,0.47499600052833557,3.3258572475243253e-165,0.0017857142857142859,True
LCM_24M,PCMCI,0.9734429507851601,0.4769712873324752,0.0073025762133773695,0.10323910229920946,0.4964716634526849,0.4898683577775955,3.3258516333008374e-165,0.0017857142857142859,True
LCM_24M,DYNOTEARS,0.9734429507851601,0.48327545161545277,0.0073025762133773695,0.07763350759683303,0.4901674991697073,0.49442680180072784,3.3258254337160297e-165,0.0017857142857142859,True
LCM_24M,VARLINGAM,0.9734429507851601,0.47986908112466337,0.0073025762133773695,0.10551429717089528,0.4935738696604967,0.4933684170246124,3.3258572475243253e-165,0.0017857142857142859,True
PCMCI,DYNOTEARS,0.4769712873324752,0.48327545161545277,0.10323910229920946,0.07763350759683303,-0.006304164282977581,-0.003676488995552063,0.09129845371688604,0.0017857142857142859,False
PCMCI,VARLINGAM,0.4769712873324752,0.47986908112466337,0.10323910229920946,0.10551429717089528,-0.0028977937921881676,-0.006410285830497742,0.31911012090635626,0.0017857142857142859,False
DYNOTEARS,VARLINGAM,0.48327545161545277,0.47986908112466337,0.07763350759683303,0.10551429717089528,0.0034063704907894136,-1.4901161193847656e-08,0.5584947455336009,0.0017857142857142859,False
