model_a,model_b,n_shared,mean_a,mean_b,std_a,std_b,mean_delta,median_delta,raw_p_value,adjusted_alpha,significant
LCM_2.5M,LCM_9.4M,18,0.9801312188307444,0.9837190707524618,0.007560606661763683,0.006026335308104008,-0.0035878519217173257,-0.0034929215908050537,0.00157928466796875,0.002380952380952381,True
LCM_2.5M,LCM_12.2M,18,0.9801312188307444,0.9831722378730774,0.007560606661763683,0.005851749915807174,-0.0030410190423329673,-0.0016373991966247559,0.010406494140625,0.002380952380952381,False
LCM_2.5M,LCM_24M,18,0.9801312188307444,0.979302359951867,0.007560606661763683,0.009152451641033423,0.0008288588788774279,0.0013427436351776123,0.49507904052734375,0.002380952380952381,False
LCM_2.5M,PCMCI,18,0.9801312188307444,0.9661949442492591,0.007560606661763683,0.029397205287989774,0.013936274581485324,0.01737910509109497,0.0897674560546875,0.002380952380952381,False
LCM_2.5M,DYNOTEARS,18,0.9801312188307444,0.551910431848632,0.007560606661763683,0.05469745945479485,0.42822078698211247,0.4519002437591553,7.62939453125e-06,0.002380952380952381,True
LCM_2.5M,VARLINGAM,18,0.9801312188307444,0.9410562713940939,0.007560606661763683,0.031119333278642716,0.039074947436650596,0.03644055128097534,5.340576171875e-05,0.002380952380952381,True
LCM_9.4M,LCM_12.2M,18,0.9837190707524618,0.9831722378730774,0.006026335308104008,0.005851749915807174,0.0005468328793843588,0.0007255375385284424,0.34654998779296875,0.002380952380952381,False
LCM_9.4M,LCM_24M,18,0.9837190707524618,0.979302359951867,0.006026335308104008,0.009152451641033423,0.004416710800594754,0.0031642019748687744,3.814697265625e-05,0.002380952380952381,True
LCM_9.4M,PCMCI,18,0.9837190707524618,0.9661949442492591,0.006026335308104008,0.029397205287989774,0.01752412650320265,0.021337389945983887,0.03849029541015625,0.002380952380952381,False
LCM_9.4M,DYNOTEARS,18,0.9837190707524618,0.551910431848632,0.006026335308104008,0.05469745945479485,0.4318086389038298,0.4549800157546997,7.62939453125e-06,0.002380952380952381,True
LCM_9.4M,VARLINGAM,18,0.9837190707524618,0.9410562713940939,0.006026335308104008,0.031119333278642716,0.04266279935836792,0.036355048418045044,3.814697265625e-05,0.002380952380952381,True
LCM_12.2M,LCM_24M,18,0.9831722378730774,0.979302359951867,0.005851749915807174,0.009152451641033423,0.003869877921210395,0.0026647746562957764,0.00193023681640625,0.002380952380952381,True
LCM_12.2M,PCMCI,18,0.9831722378730774,0.9661949442492591,0.005851749915807174,0.029397205287989774,0.016977293623818293,0.022216349840164185,0.03849029541015625,0.002380952380952381,False
LCM_12.2M,DYNOTEARS,18,0.9831722378730774,0.551910431848632,0.005851749915807174,0.05469745945479485,0.4312618060244454,0.45237642526626587,7.62939453125e-06,0.002380952380952381,True
LCM_12.2M,VARLINGAM,18,0.9831722378730774,0.9410562713940939,0.005851749915807174,0.031119333278642716,0.04211596647898356,0.03550061583518982,3.814697265625e-05,0.002380952380952381,True
LCM_24M,PCMCI,18,0.979302359951867,0.9661949442492591,0.009152451641033423,0.029397205287989774,0.013107415702607896,0.018150508403778076,0.11870574951171875,0.002380952380952381,False
LCM_24M,DYNOTEARS,18,0.979302359951867,0.551910431848632,0.009152451641033423,0.05469745945479485,0.427391928103235,0.4527675211429596,7.62939453125e-06,0.002380952380952381,True
LCM_24M,VARLINGAM,18,0.979302359951867,0.9410562713940939,0.009152451641033423,0.031119333278642716,0.038246088557773165,0.03028881549835205,5.340576171875e-05,0.002380952380952381,True
PCMCI,DYNOTEARS,18,0.9661949442492591,0.551910431848632,0.029397205287989774,0.05469745945479485,0.41428451240062714,0.43271586298942566,7.62939453125e-06,0.002380952380952381,True
PCMCI,VARLINGAM,18,0.9661949442492591,0.9410562713940939,0.029397205287989774,0.031119333278642716,0.02513867285516527,0.025065988302230835,0.01593017578125,0.002380952380952381,False
DYNOTEARS,VARLINGAM,18,0.551910431848632,0.9410562713940939,0.05469745945479485,0.031119333278642716,-0.3891458395454619,-0.40346863865852356,7.62939453125e-06,0.002380952380952381,True
