model_a,model_b,mean_a,mean_b,std_a,std_b,mean_delta,median_delta,raw_p_value,adjusted_alpha,significant
LCM_2.5M,LCM_9.4M,0.977897407916876,0.9790894182828757,0.018013045195381633,0.013416633009419763,-0.0011920103659996619,0.002369612455368042,0.42367108738186166,0.002380952380952381,False
LCM_2.5M,LCM_12.2M,0.977897407916876,0.9813905335389651,0.018013045195381633,0.01311908911245458,-0.0034931256220890926,0.00023692846298217773,0.7412485973524913,0.002380952380952381,False
LCM_2.5M,LCM_24M,0.977897407916876,0.9839633382283725,0.018013045195381633,0.011759327144451758,-0.006065930311496441,-0.0022512078285217285,0.2269585132598877,0.002380952380952381,False
LCM_2.5M,PCMCI,0.977897407916876,0.7687892478245956,0.018013045195381633,0.11310474902075404,0.20910816009228045,0.20601102709770203,2.9802322387695312e-08,0.002380952380952381,True
LCM_2.5M,DYNOTEARS,0.977897407916876,0.48319311841176105,0.018013045195381633,0.16217071499811217,0.4947042895051149,0.48839275538921356,8.291147751986402e-06,0.002380952380952381,True
LCM_2.5M,VARLINGAM,0.977897407916876,0.7811806820906125,0.018013045195381633,0.10371139744623657,0.19671672582626343,0.19285151362419128,2.9802322387695312e-08,0.002380952380952381,True
LCM_9.4M,LCM_12.2M,0.9790894182828757,0.9813905335389651,0.013416633009419763,0.01311908911245458,-0.0023011152560894308,-0.0024881362915039062,0.05201330729012951,0.002380952380952381,False
LCM_9.4M,LCM_24M,0.9790894182828757,0.9839633382283725,0.013416633009419763,0.011759327144451758,-0.004873919945496779,-0.005106121301651001,0.04346644878387451,0.002380952380952381,False
LCM_9.4M,PCMCI,0.9790894182828757,0.7687892478245956,0.013416633009419763,0.11310474902075404,0.21030017045828012,0.2082069218158722,2.9802322387695312e-08,0.002380952380952381,True
LCM_9.4M,DYNOTEARS,0.9790894182828757,0.48319311841176105,0.013416633009419763,0.16217071499811217,0.4958962998711146,0.48788757622241974,8.291147751986402e-06,0.002380952380952381,True
LCM_9.4M,VARLINGAM,0.9790894182828757,0.7811806820906125,0.013416633009419763,0.10371139744623657,0.1979087361922631,0.20087674260139465,2.9802322387695312e-08,0.002380952380952381,True
LCM_12.2M,LCM_24M,0.9813905335389651,0.9839633382283725,0.01311908911245458,0.011759327144451758,-0.0025728046894073486,-0.00201416015625,0.2325745783382015,0.002380952380952381,False
LCM_12.2M,PCMCI,0.9813905335389651,0.7687892478245956,0.01311908911245458,0.11310474902075404,0.21260128571436956,0.21021324396133423,2.9802322387695312e-08,0.002380952380952381,True
LCM_12.2M,DYNOTEARS,0.9813905335389651,0.48319311841176105,0.01311908911245458,0.16217071499811217,0.498197415127204,0.48346106708049774,2.9802322387695312e-08,0.002380952380952381,True
LCM_12.2M,VARLINGAM,0.9813905335389651,0.7811806820906125,0.01311908911245458,0.10371139744623657,0.20020985144835252,0.19519200921058655,2.9802322387695312e-08,0.002380952380952381,True
LCM_24M,PCMCI,0.9839633382283725,0.7687892478245956,0.011759327144451758,0.11310474902075404,0.2151740904037769,0.20805686712265015,2.9802322387695312e-08,0.002380952380952381,True
LCM_24M,DYNOTEARS,0.9839633382283725,0.48319311841176105,0.011759327144451758,0.16217071499811217,0.5007702198166114,0.4974222928285599,2.9802322387695312e-08,0.002380952380952381,True
LCM_24M,VARLINGAM,0.9839633382283725,0.7811806820906125,0.011759327144451758,0.10371139744623657,0.20278265613775986,0.2038387954235077,2.9802322387695312e-08,0.002380952380952381,True
PCMCI,DYNOTEARS,0.7687892478245956,0.48319311841176105,0.11310474902075404,0.16217071499811217,0.28559612941283447,0.3129896819591522,9.834766387939453e-07,0.002380952380952381,True
PCMCI,VARLINGAM,0.7687892478245956,0.7811806820906125,0.11310474902075404,0.10371139744623657,-0.012391434266017033,-0.008936136960983276,0.43853495510235907,0.002380952380952381,False
DYNOTEARS,VARLINGAM,0.48319311841176105,0.7811806820906125,0.16217071499811217,0.10371139744623657,-0.2979875636788515,-0.26333335041999817,5.960464477539063e-08,0.002380952380952381,True
